ID,Preço,Variação,Variação (%),Horário
LREN3,R$ 14,89,+0,40 Hoje,2,76%,22/01/2026 - 12:04:13
LUPA3,R$ 1,36,-0,050 Hoje,3,55%,22/01/2026 - 12:04:23
LWSA3,R$ 4,60,+0,11 Hoje,2,45%,22/01/2026 - 12:04:33
MAPT3,R$ 3,00,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:04:43
MATD3,R$ 5,37,+0,030 Hoje,0,56%,22/01/2026 - 12:04:52
MBRF3,R$ 20,22,+0,58 Hoje,2,95%,22/01/2026 - 12:05:02
MDIA3,R$ 25,19,+0,44 Hoje,1,78%,22/01/2026 - 12:05:12
MDNE3,R$ 25,54,+0,54 Hoje,2,16%,22/01/2026 - 12:05:22
MEAL3,R$ 1,22,-0,010 Hoje,0,81%,22/01/2026 - 12:05:31
MELK3,R$ 3,75,+0,11 Hoje,3,02%,22/01/2026 - 12:05:41
MGLU3,R$ 9,19,+0,38 Hoje,4,31%,22/01/2026 - 12:05:50
MILS3,R$ 14,32,+0,100 Hoje,0,70%,22/01/2026 - 12:06:00
MLAS3,R$ 1,40,+0,020 Hoje,1,45%,22/01/2026 - 12:06:10
MNDL3,R$ 16,69,-0,0100 Hoje,0,060%,22/01/2026 - 12:06:19
MNPR3,R$ 4,28,-0,030 Hoje,0,70%,22/01/2026 - 12:06:29
MOAR3,R$ 60,05,+0,050 Hoje,0,083%,22/01/2026 - 12:06:39
MOTV3,R$ 16,42,+0,55 Hoje,3,47%,22/01/2026 - 12:06:48
MOVI3,R$ 10,84,+0,42 Hoje,4,03%,22/01/2026 - 12:06:58
MRVE3,R$ 7,87,+0,26 Hoje,3,42%,22/01/2026 - 12:07:08
MTRE3,R$ 3,97,+0,13 Hoje,3,39%,22/01/2026 - 12:07:17
MULT3,R$ 30,74,+0,38 Hoje,1,25%,22/01/2026 - 12:07:26
MYPK3,R$ 10,38,+0,12 Hoje,1,17%,22/01/2026 - 12:07:36
NATU3,R$ 7,99,+0,26 Hoje,3,36%,22/01/2026 - 12:07:46
NEOE3,R$ 32,22,+0,050 Hoje,0,16%,22/01/2026 - 12:07:55
NEXP3,R$ 2,89,-0,090 Hoje,3,02%,22/01/2026 - 12:08:05
NGRD3,R$ 27,61,-0,070 Hoje,0,25%,22/01/2026 - 12:08:14
NORD3,R$ 3,92,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:08:24
NUTR3,R$ 2,61,+0,020 Hoje,0,77%,22/01/2026 - 12:08:33
OBTC3,R$ 8,62,-0,23 Hoje,2,60%,22/01/2026 - 12:08:43
ODPV3,R$ 11,31,+0,20 Hoje,1,80%,22/01/2026 - 12:08:52
OFSA3,R$ 23,62,1 dia,22 de jan., 11:12:42 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:09:02
OIBR3,R$ 0,17,1 dia,22 de jan., 11:42:35 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:09:11
ONCO3,R$ 2,48,+0,12 Hoje,5,08%,22/01/2026 - 12:09:21
OPCT3,R$ 9,19,+0,24 Hoje,2,68%,22/01/2026 - 12:09:31
ORVR3,R$ 71,18,+1,08 Hoje,1,54%,22/01/2026 - 12:09:40
OSXB3,R$ 1,73,1 dia,22 de jan., 10:31:53 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:09:49
PATI3,R$ 30,40,1 dia,22 de jan., 10:20:41 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:09:59
PCAR3,R$ 3,90,+0,080 Hoje,2,09%,22/01/2026 - 12:10:10
PDGR3,R$ 1,30,-0,010 Hoje,0,76%,22/01/2026 - 12:10:19
PDTC3,R$ 1,44,+0,050 Hoje,3,60%,22/01/2026 - 12:10:29
PEAB3,R$ 41,00,1 dia,22 de jan., 11:04:24 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:10:39
PETR3,R$ 36,48,+0,45 Hoje,1,25%,22/01/2026 - 12:10:49
PFRM3,R$ 8,40,+0,16 Hoje,1,94%,22/01/2026 - 12:10:59
PGMN3,R$ 6,38,+0,020 Hoje,0,31%,22/01/2026 - 12:11:09
PINE3,R$ 13,27,+0,14 Hoje,1,07%,22/01/2026 - 12:11:18
PLAS3,R$ 4,89,1 dia,22 de jan., 11:36:11 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 12:11:28
PLPL3,R$ 14,50,+0,20 Hoje,1,40%,22/01/2026 - 12:11:37
PMAM3,R$ 0,96,-0,050 Hoje,4,95%,22/01/2026 - 12:11:47
PNVL3,R$ 12,85,+0,16 Hoje,1,26%,22/01/2026 - 12:11:57
POMO3,R$ 5,81,+0,060 Hoje,1,04%,22/01/2026 - 12:12:07
POSI3,R$ 4,32,+0,12 Hoje,2,86%,22/01/2026 - 12:12:17
PRIO3,R$ 46,75,-0,13 Hoje,0,28%,22/01/2026 - 12:12:27
PRNR3,R$ 16,45,+0,18 Hoje,1,11%,22/01/2026 - 12:12:36
